occupation,soc2020_code,explanation
Civil engineer,2121,Designs and oversees infrastructure projects; significant analytical work but strong regulatory liability and on-site coordination limit full automation.
Structural engineer,2121,Develops safe structural designs and signs off calculations; safety-critical decisions keep human accountability central.
Geotechnical engineer,2121,Interprets ground investigation data and manages site risk; field uncertainty and geologic judgment reduce replacement.
Transportation engineer,2121,Plans and models transport systems; modeling tasks are automatable but policy trade-offs need human input.
Water engineer (professional),2121,"Designs water supply and treatment systems; some modeling can be automated, but compliance and public safety remain human-led."
Building and building services engineer,2121,Integrates building systems for performance and safety; routine calculations are automatable but coordination is not.
Engineering project manager,2127,"Leads schedules, budgets, and stakeholder alignment; AI can assist but leadership and accountability are human."
Project engineer,2127,Coordinates technical delivery across teams; AI helps with documentation but cross-discipline decisions need humans.
Energy engineer,2129,Optimizes energy systems and efficiency; analytics are automatable yet compliance and field constraints remain human.
Traffic engineer,2129,Analyzes traffic flow and signal timing; simulations are automatable but public safety decisions are human.
Heating and ventilating engineer (professional),2129,Designs HVAC systems for performance and safety; calculations are automatable but standards compliance is human-led.
Gas engineer (professional),2129,Designs and advises on gas systems; safety and regulatory liability constrain automation.
Construction project manager,2455,"Manages site execution, contracts, and safety; heavy on-field coordination keeps replacement low."
Construction contract manager,2455,Negotiates and administers contracts; AI assists drafting but legal judgment is human.
Transport planner,2455,Develops transport strategies and appraisals; modeling is automatable but policy trade-offs remain human.
Quantity surveyor,2453,Estimates costs and manages budgets; many tasks are data-driven and automatable.
Building control surveyor,2454,Inspects compliance with building regulations; site inspections and liability limit automation.
Land surveyor,2454,Collects and processes spatial measurements; data processing can be automated but field work persists.
Hydrographic surveyor,2454,Maps underwater terrain; specialized equipment and field conditions reduce automation potential.
Town planning officer,2452,Assesses planning applications and policy compliance; AI can support analysis but decisions are human.
Urban designer,2452,Creates urban layouts and public realm concepts; creative judgment limits automation.
Chartered architectural technologist,2452,Translates designs into technical details; drafting is automatable but compliance checks are human.
BIM technician,3120,Builds and maintains BIM models; highly digital workflow is amenable to AI assistance.
CAD technician,3120,Produces technical drawings; drafting is routine and highly automatable.
Architectural technician,3120,Prepares technical drawings and details; AI can automate drafting but coordination remains.
Cartographer,3120,Creates and updates maps; data-driven production is automatable with AI tools.
Civil engineering technician,3114,"Supports engineers with testing and site tasks; some office tasks are automatable, field work is not."
Building technician,3114,Assists with inspections and measurements; site presence reduces automation.
Surveying technician,3114,Collects measurement data; automation helps processing but field collection stays human.
Planning engineer,2481,Plans workflows and resources; analytics are automatable but cross-team decisions are human.
Quality control engineer,2481,Defines and audits quality standards; routine checks can be automated but responsibility is human.
Estimator,3541,Produces cost estimates from drawings and data; AI can automate takeoffs and pricing.
Valuer,3541,Assesses asset value; data analysis is automatable but market judgment is human.
Energy adviser and assessor,3541,Assesses building energy performance; tooling supports automation but site verification remains human.
Building control officer,3581,Enforces building regulations through inspections; legal accountability limits automation.
Housing and planning inspector,3581,Inspects compliance with housing and planning rules; site judgment keeps automation low.
Health and safety inspector,3581,Evaluates safety compliance on sites; field judgment and enforcement limit automation.
Traffic and vehicle examiner/inspector,3581,Inspects safety and compliance; physical inspection is hard to automate fully.
Occupational health and safety officer,3582,Develops and enforces safety systems; AI can assist analysis but accountability is human.
Fire safety officer,3582,Assesses fire risk and compliance; safety-critical judgment limits automation.
Road traffic and transport safety officer,3582,Manages safety standards and audits; field enforcement requires human presence.
Occupational hygienist,3582,Measures exposure risks and advises controls; field sampling reduces automation.
Environmental health professional,2483,Monitors environmental risks and compliance; inspections and legal duties remain human.
Environmental consultant,2152,Produces assessments and reports; analysis is automatable but client-facing judgment is human.
Environmental scientist,2152,Analyzes environmental data and processes; AI can assist analysis but field work persists.
Environmental/geo-environmental engineer,2152,Designs remediation and investigates sites; field uncertainty and liability reduce automation.
Sustainability officer,2152,Drives sustainability strategy and reporting; reporting is automatable but change management is human.
Energy manager,2152,"Optimizes energy use across assets; analytics are automatable, execution is human."
Hydrogeologist,2114,Studies groundwater systems; complex field data and risk decisions limit automation.
Hydrologist,2114,Models water systems and flood risk; modeling is automatable but uncertainty needs humans.
