occupation,soc2020_code,explanation,employment_2021_mean,employment_2025_mean,employment_growth_pct,ons_soc2010_code,ons_soc2010_description,ons_probability_of_automation,ons_match_note,ons_score_0_5,ons_matched,task_family_original,task_family,classification_rationale,us_soc,felten_aioe,us_title,webb_lm_aioe,felten_matched,webb_matched,felten_aioe_0_5,webb_lm_aioe_0_5,ChatGPT,DeepSeek,Gemini3Pro,pooled_mean
Energy adviser and assessor,3541,Assesses building energy performance; tooling supports automation but site verification remains human.,55400.0,67100.0,21.119133574007225,,,,no direct SOC2010 match in ONS table,,False,Field survey and site investigation,Digital documentation and estimation,Reclassified to digital documentation because outputs are structured assessment reports and compliance documents.,13-1199,1.047687,"Business Operations Specialists, All Other",0.92503,True,True,4.214105169351934,4.410888261580153,5.0,4.0,4.0,4.333333333333333
CAD technician,3120,Produces technical drawings; drafting is routine and highly automatable.,72900.0,55533.333333333336,-23.82258802011888,3122.0,Draughtspersons,0.386736,mapped by closest SOC2010 unit group,1.93368,True,Digital documentation and estimation,Digital documentation and estimation,Retained from original deterministic mapping.,17-3019,,,,False,False,,,5.0,4.0,4.0,4.333333333333333
Estimator,3541,Produces cost estimates from drawings and data; AI can automate takeoffs and pricing.,55400.0,67100.0,21.119133574007225,,,,no direct SOC2010 match in ONS table,,False,Digital documentation and estimation,Digital documentation and estimation,Retained from original deterministic mapping.,13-1051,1.367669,Cost Estimators,1.13408,True,True,5.0,5.0,5.0,4.0,4.0,4.333333333333333
Cartographer,3120,Creates and updates maps; data-driven production is automatable with AI tools.,72900.0,55533.333333333336,-23.82258802011888,,,,no direct SOC2010 match in ONS table,,False,Digital documentation and estimation,Digital documentation and estimation,Retained from original deterministic mapping.,17-1021,0.8169979,Cartographers and Photogrammetrists,0.4723189,True,True,3.647519013953022,3.1351292416186065,5.0,4.0,4.0,4.333333333333333
BIM technician,3120,Builds and maintains BIM models; highly digital workflow is amenable to AI assistance.,72900.0,55533.333333333336,-23.82258802011888,3121.0,Architectural and town planning technicians,0.346049,mapped by closest SOC2010 unit group,1.730245,True,Digital documentation and estimation,Digital documentation and estimation,Retained from original deterministic mapping.,17-3011,0.9233925,Architectural and Civil Drafters,0.5538733,True,True,3.9088304819383106,3.3649529888550935,5.0,4.0,4.0,4.333333333333333
Quantity surveyor,2453,Estimates costs and manages budgets; many tasks are data-driven and automatable.,63000.0,50000.0,-20.634920634920633,2433.0,Quantity surveyors,0.273715,mapped by closest SOC2010 unit group,1.368575,True,Digital documentation and estimation,Digital documentation and estimation,Retained from original deterministic mapping.,13-1051,1.367669,Cost Estimators,1.13408,True,True,5.0,5.0,5.0,3.0,4.0,4.0
Transport planner,2455,Develops transport strategies and appraisals; modeling is automatable but policy trade-offs remain human.,107500.0,105633.33333333331,-1.7364341085271362,2432.0,Town planning officers,0.228644,mapped by closest SOC2010 unit group,1.14322,True,"Management, coordination and policy","Management, coordination and policy",Retained from original deterministic mapping.,19-3051,1.227516,Urban and Regional Planners,1.07547,True,True,4.655775893019549,4.834834542029241,5.0,3.0,4.0,4.0
Sustainability officer,2152,Drives sustainability strategy and reporting; reporting is automatable but change management is human.,45300.0,80766.66666666667,78.29286239882268,2142.0,Environment professionals,0.237091,mapped by closest SOC2010 unit group,1.185455,True,"Management, coordination and policy","Management, coordination and policy",Retained from original deterministic mapping.,19-2041,1.014113,"Environmental Scientists and Specialists, Including Health",0.8702797,True,True,4.131645427728411,4.256599601393556,5.0,3.0,4.0,4.0
Town planning officer,2452,Assesses planning applications and policy compliance; AI can support analysis but decisions are human.,52000.0,56466.666666666664,8.589743589743586,2432.0,Town planning officers,0.228644,mapped by closest SOC2010 unit group,1.14322,True,"Management, coordination and policy","Management, coordination and policy",Retained from original deterministic mapping.,19-3051,1.227516,Urban and Regional Planners,1.07547,True,True,4.655775893019549,4.834834542029241,5.0,3.0,4.0,4.0
Energy manager,2152,"Optimizes energy use across assets; analytics are automatable, execution is human.",45300.0,80766.66666666667,78.29286239882268,,,,no direct SOC2010 match in ONS table,,False,"Management, coordination and policy","Management, coordination and policy",Retained from original deterministic mapping.,11-1021,0.5748773,General and Operations Managers,0.6776147,True,True,3.052856414389895,3.713661485714724,4.0,3.0,4.0,3.6666666666666665
Energy engineer,2129,Optimizes energy systems and efficiency; analytics are automatable yet compliance and field constraints remain human.,70500.0,114200.0,61.98581560283688,2129.0,Engineering professionals n.e.c.,0.288824,mapped by closest SOC2010 unit group,1.44412,True,Engineering analysis and modelling,Engineering analysis and modelling,Retained from original deterministic mapping.,17-2199,0.787566,"Engineers, All Other",0.5808077,True,True,3.5752325163808116,3.440855266813934,4.0,3.0,4.0,3.6666666666666665
Planning engineer,2481,Plans workflows and resources; analytics are automatable but cross-team decisions are human.,47000.0,35666.666666666664,-24.11347517730497,2461.0,Quality control and planning engineers,0.318019,mapped by closest SOC2010 unit group,1.590095,True,Engineering analysis and modelling,Engineering analysis and modelling,Retained from original deterministic mapping.,17-2112,1.13787,Industrial Engineers,0.9050576,True,True,4.435599983161255,4.354605193967541,4.0,3.0,4.0,3.6666666666666665
Environmental consultant,2152,Produces assessments and reports; analysis is automatable but client-facing judgment is human.,45300.0,80766.66666666667,78.29286239882268,2142.0,Environment professionals,0.237091,mapped by closest SOC2010 unit group,1.185455,True,Engineering analysis and modelling,Engineering analysis and modelling,Retained from original deterministic mapping.,19-2041,1.014113,"Environmental Scientists and Specialists, Including Health",0.8702797,True,True,4.131645427728411,4.256599601393556,4.0,3.0,4.0,3.6666666666666665
Architectural technician,3120,Prepares technical drawings and details; AI can automate drafting but coordination remains.,72900.0,55533.333333333336,-23.82258802011888,3121.0,Architectural and town planning technicians,0.346049,mapped by closest SOC2010 unit group,1.730245,True,Digital documentation and estimation,Digital documentation and estimation,Retained from original deterministic mapping.,17-3011,0.9233925,Architectural and Civil Drafters,0.5538733,True,True,3.9088304819383106,3.3649529888550935,4.0,3.0,4.0,3.6666666666666665
Chartered architectural technologist,2452,Translates designs into technical details; drafting is automatable but compliance checks are human.,52000.0,56466.666666666664,8.589743589743586,2435.0,Chartered architectural technologists,0.270688,mapped by closest SOC2010 unit group,1.35344,True,Digital documentation and estimation,Digital documentation and estimation,Retained from original deterministic mapping.,17-3011,0.9233925,Architectural and Civil Drafters,0.5538733,True,True,3.9088304819383106,3.3649529888550935,4.0,3.0,4.0,3.6666666666666665
Hydrologist,2114,Models water systems and flood risk; modeling is automatable but uncertainty needs humans.,26200.0,32966.666666666664,25.826972010178107,,,,no direct SOC2010 match in ONS table,,False,Engineering analysis and modelling,Engineering analysis and modelling,Retained from original deterministic mapping.,19-2043,0.6405071,Hydrologists,0.5548691,True,True,3.2140471081053743,3.367759195356497,3.0,3.0,4.0,3.3333333333333335
Construction contract manager,2455,Negotiates and administers contracts; AI assists drafting but legal judgment is human.,107500.0,105633.33333333331,-1.7364341085271362,2436.0,Construction project managers and related professionals,0.257037,mapped by closest SOC2010 unit group,1.285185,True,"Management, coordination and policy","Management, coordination and policy",Retained from original deterministic mapping.,11-9021,1.029139,Construction Managers,0.6361951,True,True,4.168550177762218,3.5969393017364673,4.0,2.0,4.0,3.3333333333333335
Traffic engineer,2129,Analyzes traffic flow and signal timing; simulations are automatable but public safety decisions are human.,70500.0,114200.0,61.98581560283688,2129.0,Engineering professionals n.e.c.,0.288824,mapped by closest SOC2010 unit group,1.44412,True,Engineering analysis and modelling,Engineering analysis and modelling,Retained from original deterministic mapping.,17-2051,1.282867,Civil Engineers,0.9267973,True,True,4.791721242355453,4.415868587699786,4.0,3.0,3.0,3.3333333333333335
Environmental scientist,2152,Analyzes environmental data and processes; AI can assist analysis but field work persists.,45300.0,80766.66666666667,78.29286239882268,2142.0,Environment professionals,0.237091,mapped by closest SOC2010 unit group,1.185455,True,Engineering analysis and modelling,Engineering analysis and modelling,Retained from original deterministic mapping.,19-2041,1.014113,"Environmental Scientists and Specialists, Including Health",0.8702797,True,True,4.131645427728411,4.256599601393556,4.0,3.0,3.0,3.3333333333333335
Building and building services engineer,2121,Integrates building systems for performance and safety; routine calculations are automatable but coordination is not.,115800.0,97566.66666666669,-15.745538284398384,2129.0,Engineering professionals n.e.c.,0.288824,mapped by closest SOC2010 unit group,1.44412,True,Engineering analysis and modelling,Engineering analysis and modelling,Retained from original deterministic mapping.,17-2051,1.282867,Civil Engineers,0.9267973,True,True,4.791721242355453,4.415868587699786,4.0,3.0,3.0,3.3333333333333335
Project engineer,2127,Coordinates technical delivery across teams; AI helps with documentation but cross-discipline decisions need humans.,62100.0,73633.33333333333,18.572195383789577,2129.0,Engineering professionals n.e.c.,0.288824,mapped by closest SOC2010 unit group,1.44412,True,Engineering analysis and modelling,Engineering analysis and modelling,Retained from original deterministic mapping.,17-2199,0.787566,"Engineers, All Other",0.5808077,True,True,3.5752325163808116,3.440855266813934,4.0,3.0,3.0,3.3333333333333335
Transportation engineer,2121,Plans and models transport systems; modeling tasks are automatable but policy trade-offs need human input.,115800.0,97566.66666666669,-15.745538284398384,2121.0,Civil engineers,0.252381,mapped by closest SOC2010 unit group,1.261905,True,Engineering analysis and modelling,Engineering analysis and modelling,Retained from original deterministic mapping.,17-2051,1.282867,Civil Engineers,0.9267973,True,True,4.791721242355453,4.415868587699786,4.0,3.0,3.0,3.3333333333333335
Urban designer,2452,Creates urban layouts and public realm concepts; creative judgment limits automation.,52000.0,56466.666666666664,8.589743589743586,2431.0,Architects,0.22483,mapped by closest SOC2010 unit group,1.12415,True,Creative and cross-disciplinary design,Engineering analysis and modelling,Merged with engineering analysis because the creative-design family had only one occupation.,17-1011,1.047142,"Architects, Except Landscape and Naval",0.6103589,True,True,4.212766616924912,3.5241317978083972,4.0,2.0,3.0,3.0
Structural engineer,2121,Develops safe structural designs and signs off calculations; safety-critical decisions keep human accountability central.,115800.0,97566.66666666669,-15.745538284398384,2121.0,Civil engineers,0.252381,mapped by closest SOC2010 unit group,1.261905,True,Engineering analysis and modelling,Engineering analysis and modelling,Retained from original deterministic mapping.,17-2052,,,,False,False,,,3.0,3.0,3.0,3.0
Quality control engineer,2481,Defines and audits quality standards; routine checks can be automated but responsibility is human.,47000.0,35666.666666666664,-24.11347517730497,2461.0,Quality control and planning engineers,0.318019,mapped by closest SOC2010 unit group,1.590095,True,Engineering analysis and modelling,Engineering analysis and modelling,Retained from original deterministic mapping.,17-2112,1.13787,Industrial Engineers,0.9050576,True,True,4.435599983161255,4.354605193967541,3.0,3.0,3.0,3.0
Valuer,3541,Assesses asset value; data analysis is automatable but market judgment is human.,55400.0,67100.0,21.119133574007225,,,,no direct SOC2010 match in ONS table,,False,Digital documentation and estimation,Digital documentation and estimation,Retained from original deterministic mapping.,13-2023,,,,False,False,,,4.0,2.0,3.0,3.0
Water engineer (professional),2121,"Designs water supply and treatment systems; some modeling can be automated, but compliance and public safety remain human-led.",115800.0,97566.66666666669,-15.745538284398384,2121.0,Civil engineers,0.252381,mapped by closest SOC2010 unit group,1.261905,True,Engineering analysis and modelling,Engineering analysis and modelling,Retained from original deterministic mapping.,17-2051,1.282867,Civil Engineers,0.9267973,True,True,4.791721242355453,4.415868587699786,3.0,3.0,3.0,3.0
Fire safety officer,3582,Assesses fire risk and compliance; safety-critical judgment limits automation.,75400.0,87766.66666666667,16.40141467727675,3567.0,Health and safety officers,0.35873,mapped by closest SOC2010 unit group,1.79365,True,"Compliance, inspection and safety","Compliance, inspection and safety",Retained from original deterministic mapping.,33-2021,0.062793,Fire Inspectors and Investigators,-0.1516908,True,True,1.7951469050236388,1.3766435245277329,3.0,3.0,3.0,3.0
Civil engineer,2121,Designs and oversees infrastructure projects; significant analytical work but strong regulatory liability and on-site coordination limit full automation.,115800.0,97566.66666666669,-15.745538284398384,2121.0,Civil engineers,0.252381,mapped by closest SOC2010 unit group,1.261905,True,Engineering analysis and modelling,Engineering analysis and modelling,Retained from original deterministic mapping.,17-2051,1.282867,Civil Engineers,0.9267973,True,True,4.791721242355453,4.415868587699786,3.0,3.0,3.0,3.0
Heating and ventilating engineer (professional),2129,Designs HVAC systems for performance and safety; calculations are automatable but standards compliance is human-led.,70500.0,114200.0,61.98581560283688,5314.0,Plumbers and heating and ventilating engineers,0.521126,mapped by closest SOC2010 unit group,2.6056299999999997,True,Engineering analysis and modelling,Engineering analysis and modelling,Retained from original deterministic mapping.,17-2141,1.004709,Mechanical Engineers,0.6780269,True,True,4.108548644198667,3.714823082742117,3.0,3.0,3.0,3.0
Engineering project manager,2127,"Leads schedules, budgets, and stakeholder alignment; AI can assist but leadership and accountability are human.",62100.0,73633.33333333333,18.572195383789577,2436.0,Construction project managers and related professionals,0.257037,mapped by closest SOC2010 unit group,1.285185,True,"Management, coordination and policy","Management, coordination and policy",Retained from original deterministic mapping.,11-9021,1.029139,Construction Managers,0.6361951,True,True,4.168550177762218,3.5969393017364673,4.0,2.0,3.0,3.0
