model,model_id,prompt_variant,run,occupation,soc2020_code,score,confidence,rationale,temperature,top_p,max_tokens,context_cleared
ChatGPT,GPT-4o,main_prompt,1,Civil engineer,2121,3,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Structural engineer,2121,3,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Geotechnical engineer,2121,3,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Transportation engineer,2121,4,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Water engineer (professional),2121,3,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Building and building services engineer,2121,4,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Engineering project manager,2127,4,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Project engineer,2127,4,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Energy engineer,2129,4,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Traffic engineer,2129,4,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Heating and ventilating engineer (professional),2129,3,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Gas engineer (professional),2129,2,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Construction project manager,2455,4,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Construction contract manager,2455,4,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Transport planner,2455,5,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Quantity surveyor,2453,5,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Building control surveyor,2454,3,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Land surveyor,2454,3,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Hydrographic surveyor,2454,2,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Town planning officer,2452,5,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Urban designer,2452,4,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Chartered architectural technologist,2452,4,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,BIM technician,3120,5,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,CAD technician,3120,5,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Architectural technician,3120,4,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Cartographer,3120,5,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Civil engineering technician,3114,3,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Building technician,3114,2,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Surveying technician,3114,2,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Planning engineer,2481,4,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Quality control engineer,2481,3,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Estimator,3541,5,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Valuer,3541,4,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Energy adviser and assessor,3541,5,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Building control officer,3581,3,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Housing and planning inspector,3581,2,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Health and safety inspector,3581,2,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Traffic and vehicle examiner/inspector,3581,2,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Occupational health and safety officer,3582,3,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Fire safety officer,3582,3,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Road traffic and transport safety officer,3582,3,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Occupational hygienist,3582,3,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Environmental health professional,2483,4,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Environmental consultant,2152,4,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Environmental scientist,2152,4,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Environmental/geo-environmental engineer,2152,3,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Sustainability officer,2152,5,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Energy manager,2152,4,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Hydrogeologist,2114,3,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,1,Hydrologist,2114,3,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,2,Civil engineer,2121,3,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,2,Structural engineer,2121,3,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,2,Geotechnical engineer,2121,3,Medium,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
ChatGPT,GPT-4o,main_prompt,2,Transportation engineer,2121,4,High,Original rationale supplied in user-pasted ChatGPT JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
