RQ,Specification,Coefficient (s.e.),N,Note
RQ2,RQ2a Indian SJ3 Post×ΔM TNLG (BaTIS B),0.021*** (0.008),119,Preferred balanced series; includes 2024
RQ2,RQ2b Indian SJ3 Post2024×ΔM TNLG (BaTIS B),0.011 (0.007),119,Treat only 2024 as post
RQ2,RQ2c Pooled SJ3 IND/PHL/VNM Post×ΔM TNLG (BaTIS B),0.009 (0.005),357,Partner FE
RQ3,RQ3a Chinese SE Post×ΔM TNLG (BaTIS B),-0.008 (0.009),119,Project-based comparison; not a GATS mode
RQ3,RQ3b Indian SI Post×ΔM TNLG (BaTIS B),-0.009* (0.005),119,Computer-services placebo
RQ3,RQ3c Chinese SJ3 Post×ΔM TNLG (BaTIS B),0.005 (0.010),119,"Same heading, different partner"
RQ3,RQ3d Indian SE Post×ΔM TNLG (BaTIS B),-0.015 (0.015),119,Indian construction services (thin corridor)
RQ2,RQ2d Indian engineering SJ312 Post×ΔM TNLG (Eurostat ITS),0.026* (0.014),96,"Official engineering heading; importers=16, years=10; missing years not filled"
RQ3,RQ3e Chinese engineering SJ312 Post×ΔM TNLG (Eurostat ITS),-0.062** (0.027),97,Same official heading from China except Hong Kong
RQ2,RQ2e Cross-section Δlog IN engineering SJ312 22–24 on ΔTNLG,0.032 (0.032),14,No FE; only reporters with both 2022 and 2024 published
RQ2,RQ2d Indian arch+eng SJ31 Post×ΔM TNLG (Eurostat ITS),0.025 (0.016),88,"Official engineering heading; importers=16, years=10; missing years not filled"
RQ3,RQ3e Chinese arch+eng SJ31 Post×ΔM TNLG (Eurostat ITS),-0.043** (0.017),94,Same official heading from China except Hong Kong
RQ2,RQ2e Cross-section Δlog IN arch+eng SJ31 22–24 on ΔTNLG,0.070* (0.037),12,No FE; only reporters with both 2022 and 2024 published
RQ2,RQ2d Indian architectural SJ311 Post×ΔM TNLG (Eurostat ITS),-0.012 (0.014),84,"Official engineering heading; importers=16, years=10; missing years not filled"
RQ3,RQ3e Chinese architectural SJ311 Post×ΔM TNLG (Eurostat ITS),0.080 (0.067),78,Same official heading from China except Hong Kong
RQ2,RQ2e Cross-section Δlog IN architectural SJ311 22–24 on ΔTNLG,-0.014 (0.022),12,No FE; only reporters with both 2022 and 2024 published
RQ2,RQ2d Indian ITS SJ3 Post×ΔM TNLG (Eurostat ITS),0.035** (0.015),119,"Official engineering heading; importers=17, years=10; missing years not filled"
RQ3,RQ3e Chinese ITS SJ3 Post×ΔM TNLG (Eurostat ITS),0.009 (0.017),110,Same official heading from China except Hong Kong
RQ2,RQ2e Cross-section Δlog IN ITS SJ3 22–24 on ΔTNLG,0.051** (0.025),17,No FE; only reporters with both 2022 and 2024 published
RQ4,RQ4a Relocation index log(IN SJ3)−log(CN SE) Post×ΔTNLG,0.029** (0.013),119,Positive = Indian technical services rose relative to Chinese construction
RQ4,"RQ4b Same index, Post2024×ΔTNLG",0.006 (0.012),119,2024 only
RQ4,RQ4d ITS index log(IN SJ312)−log(CN SJ312) Post×ΔTNLG,0.101*** (0.035),86,"Engineering services only; unbalanced (missing years dropped, not filled)"
RQ4,RQ4c Cross-section Δrelocation index 22–24 on ΔTNLG,-0.001 (0.012),17,One observation per importer
RQ5,RQ5 M71 turnover Post2024×ΔM TNLG,-0.007** (0.003),68,SBS current prices; one complete post-shock year
RQ5,RQ5 M71 employment Post2024×ΔM TNLG,-0.000 (0.002),68,SBS current prices; one complete post-shock year
RQ5,RQ5 M71 wages Post2024×ΔM TNLG,-0.009*** (0.003),68,SBS current prices; one complete post-shock year
RQ6,"RQ6a Indian SJ3 Post×ΔM TNLG (BaTIS reported N, ≤2023)",0.021* (0.012),102,Reported cells; sample max year=2023; 2024 unpublished so Post=2023 only
RQ8,RQ8 Science and engineering professionals Post×ΔM TNLG,-0.001 (0.004),119,ISCO 2-digit; not civil engineers (2142)
RQ8,RQ8 Science and engineering associate professionals Post×ΔM TNLG,0.003 (0.003),119,ISCO 2-digit; not civil engineers (2142)
RQ8,RQ8 ICT professionals Post×ΔM TNLG,-0.006** (0.003),119,ISCO 2-digit; not civil engineers (2142)
RQ8,RQ8 Building trades workers Post×ΔM TNLG,-0.007*** (0.002),119,ISCO 2-digit; not civil engineers (2142)
