model,model_id,prompt_variant,run,occupation,soc2020_code,score,confidence,rationale,temperature,top_p,max_tokens,context_cleared
Gemini 3 Pro,Gemini-3,main_prompt,1,Civil engineer,2121,3,High,High data and report processing intensity balanced by physical site presence and safety-critical accountability.,UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Structural engineer,2121,3,High,"Heavy reliance on standardised math/code compliance, but restricted by strict liability and physical validation requirements.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Geotechnical engineer,2121,2,High,"Limited by high field uncertainty, physical soil sampling, and site-specific risk management.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Transportation engineer,2121,3,High,"Involves heavy data processing and model translation, balanced by political and multi-stakeholder trade-offs.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Water engineer (professional),2121,3,High,"High exposure in design generation and regulatory compliance reporting, though limited by physical asset dependencies.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Building and building services engineer,2121,3,High,"High standardisation in MEP layout automation, balanced by interdisciplinary physical coordination.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Engineering project manager,2127,3,High,"High exposure in scheduling, report synthesis, and data translation, but requires heavy human coordination.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Project engineer,2127,3,High,"Balances technical documentation processing with cross-functional, face-to-face team coordination.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Energy engineer,2129,4,High,"Highly digital workflows focused on system optimisation, data manipulation, and regulatory text processing.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Traffic engineer,2129,3,High,"Data-heavy modelling and simulation tasks are exposed, but public safety decisions limit total reliance.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Heating and ventilating engineer (professional),2129,3,High,"Relies on highly structured design formulas and equipment documentation, but tied to physical building limits.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Gas engineer (professional),2129,2,High,"Highly restricted by severe safety-critical risks, physical infrastructure inspection, and immediate liabilities.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Construction project manager,2455,2,High,"Dominated by dynamic on-site execution, manual coordination, and real-time physical problem-solving.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Construction contract manager,2455,4,High,"Highly exposed due to an intensive focus on text processing, contract drafting, and regulatory compliance reviews.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Transport planner,2455,4,High,"Driven heavily by data analysis, policy drafting, and strategic report writing with minimal site presence.",UI default,UI default,UI default,True
